mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
991144.51910490088630468,224002.72898439990240149,1770.14273674940318415,-5460.66582122426916612,1,-0.78703140119728232,-5.53417595523660566,5.58985884705414993
991637.28128923254553229,223729.98480680581997149,2077.75169506788051876,-5617.43930478454058175,1,5.47583318215902182,1.51297247788079403,5.6810064916050349
991370.08287509402725846,223685.96320464785094373,1916.12056743707830719,-5651.40309496869031136,1,6.28357108569366574,1.52946139617233712,6.467033149083659
994565.1585159320384264,223204.91498708931612782,3900.88573601513098765,-5869.21070599115773803,1,0.93124482975326828,1.37186442330494174,1.65807989218613772
994512.31228958477731794,223110.99283026304328814,3870.95186973003728781,-5929.38703512098436477,1,1.92327037088398356,-1.15592944862055447,2.24391216621962153
994375.12336927640717477,222674.83003562118392438,3801.29682173464152584,-6190.13059053155393485,1,1.27113006807530837,5.60153847438050434,5.7439537715697373
993389.92167394200805575,221529.71612395771080628,3249.5549460296028883,-6913.2906367719588161,1,-7.02679855287988175,2.2494364168978791,7.37806628436077183
993489.95320470666047186,221475.93716320424573496,3306.99850211032799052,-6943.19694585823526722,1,-4.68446766065153497,5.69284185800006526,7.37242739427711857
993317.93138241278938949,221165.41950243464088999,3214.00376167551894468,-7132.53415133203452569,1,-12.94378853475882352,19.75631804431122873,23.61892809380924163
992326.8286872070748359,221382.15582897493732162,2601.47517561479344295,-7033.51485308432802412,1,2.06616157344797102,-2.84512294761134399,3.51621219988465095
992356.28193856438156217,221470.01370179481455125,2618.86252973598129756,-6971.81108218765257334,1,1.3084558403616029,2.68820769949525129,2.98973532637956785
991809.60227154544554651,221518.42541524025727995,2280.17461531172011746,-6959.80950327612663386,1,5.80024733893878874,-0.91772978817243711,5.87240131096006746
990906.30041348712984473,222078.6665307872754056,1715.19514390455719877,-6641.99488993207796739,1,6.26343980587921578,-3.14884190790780849,7.01041251017860922
994616.40469674475025386,224301.3788176199013833,3910.07925647777256017,-5184.5178443214372237,1,0.04173687506727219,-2.57963831326469517,2.57997592895815675
994666.45042871381156147,224232.7518858328985516,3943.4524673794253431,-5222.87961684114998206,1,-1.9512054435713253,3.41094474365127098,3.92959879978409621
991563.36774251726455986,223265.45845020440174267,2079.8871076641826221,-5898.50551409968647931,1,-17.07231249660344474,9.72765075923689437,19.64919955813376617
992830.7240903495112434,221810.60187550206319429,2901.57189857454795856,-6752.3945646420788762,1,-0.05984819019658971,-2.50632956266235851,2.50704401288551315
993832.8068087799474597,223316.00215463316999376,3461.18594225581227874,-5805.78593247496974072,1,-2.17134414048405233,3.52713431536540156,4.14190920410413987
993182.85488709132187068,222910.9622783285449259,3071.91040714325299632,-6078.73501377980846883,1,5.70216064779924636,-7.5048666796865291,9.42537319861550138
993154.69554520642850548,222880.16616821169736795,3055.23915172380475269,-6097.11102346337156632,1,6.40071153901544676,-6.46825213853389869,9.09985680839725397
992057.91897096124012023,221922.95733136922353879,2426.88780955151014496,-6712.16708574237236462,1,0.09547167582786642,-9.25856515291252435,9.25905737813582697
992270.66135083849076182,221729.65524695868953131,2564.70040552699811087,-6814.8676302067888173,1,-2.15172675773919764,0.28705329349577369,2.17078963358442678
993545.38561714359093457,220906.82435438645188697,3324.9453270540725498,-7334.93036922423107171,1,7.23934208672881141,-10.4050830435444368,12.67571800695088946
993548.49321919574867934,220891.51701298891566694,3328.34998558798588419,-7342.87214763306383247,1,5.37803779822115757,-7.91177079390763538,9.56657763541515038
993395.70699040882755071,220645.51117103360593319,3239.04068191980150004,-7502.65834144630025548,1,-0.21028199711690831,1.85235170556643425,1.86424927502368987
994879.95718221645802259,223011.15434824116528034,4094.69647654010623228,-5992.3945430363437481,1,-5.47345692587850863,0.23530001318977156,5.47851228123607648
994617.88533257564995438,222842.32834800661657937,3934.55680840542936494,-6099.88326490160397952,1,6.10243831484012844,-6.15436159739783761,8.66694410146702587
990544.28362619574181736,220777.33387305348878726,1528.86986279934649247,-7451.5582050856000933,1,-5.81550718044763926,1.95693888407549821,6.13593787141335945
991073.46662148030009121,221224.46819508669432253,1840.31707887451830175,-7160.99580541685827484,1,2.40058380834921081,-0.89479374796428601,2.56192475929805052
991156.98451943788677454,221138.81105358811328188,1892.02111097690931274,-7213.33688350334159622,1,1.89174439899579738,-0.60704479820196866,1.98675621507925304
991834.67736063548363745,222602.80463891525869258,2272.30971668663369201,-6294.35395760990923009,1,-9.50142874792891234,5.64565394251167163,11.05217429696833698
991422.05390829499810934,221542.46303980049560778,2046.07604537988868287,-6953.20181511828468501,1,3.27361678937654688,0.84683742804463691,3.38137553566965776
