mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
1986824.22030003881081939,782214.64341535954736173,78.71066733110735925,-710.26826523480053766,1,-0.95018891264281535,0.60061206550187762,1.12409689214754405
1987395.66796105750836432,782168.86796645517461002,231.64035884036564994,-794.70689859680510381,1,0.53779004637729599,-0.37168493987292095,0.65373375965360014
1987001.79297493561170995,784839.27037258143536747,458.90849898270903395,-20.33206949968941046,1,-2.5344907107232757,3.83702748433912433,4.59852401084482754
1987407.9998800759203732,783965.74372817354742438,458.73798459624293855,-301.54809771282134534,1,-2.48582735031135371,1.53249128386153188,2.92025121362315909
1986267.47678092191927135,784295.68035567924380302,195.86085672912406608,-84.13806111128268128,1,0.21682894751467074,-2.16829848221470911,2.1791129159488114
1985862.01092862104997039,783809.95687352097593248,39.307897575633163,-151.29274376666646162,1,-1.01968311849732629,1.22255572065114393,1.59197869088919353
1986869.48069969587959349,783831.8326424976112321,289.3474964573524062,-280.41881014856323873,1,-0.23883536753379531,0.26272802526284522,0.35506104833326524
1986505.3174905579071492,783417.31100686429999769,141.14475535045491483,-347.53301893248016086,1,0.69789784219653939,-1.37343866706567042,1.5405827372568186
1986264.80492490436881781,783827.58139396295882761,132.78261149007300901,-205.01657535687294853,1,1.8111738920441951,0.10483030950533134,1.81420513201057321
1987361.25915625598281622,783342.8425344891147688,363.01957440742143035,-469.02645444996494462,1,1.15772398835161994,-0.40091593795443714,1.22517689437512156
1987308.01573431957513094,784894.70758402009960264,546.07848443701254837,-43.16720813828212044,1,2.80761074322435888,-3.24590686201270273,4.29168841393803735
